"Time","Flux","Count","Flux_1h_1h12m","Flux_1h_2h","Flux_1h_1d1h_top1","Flux_1h_1d1h_top2","Flux_1h_1d1h_top3","Flux_1h_1d1h_top4","Flux_1h_1d1h_top5","Flux_1h_1d1h_top6","Flux_1h_1d1h_top7","Flux_1h_1d1h_top8","Flux_1h_1d1h_top9","Flux_1h_1d1h_top10","Flux_1h_1d1h_top10sum"
2014-01-01 14:48:00,2.9536e-06,59,6.5802e-06,6.5802e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 15:00:00,3.0874e-06,58,6.15e-06,6.15e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 15:12:00,3.4101e-06,59,4.7689e-06,4.7689e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 15:24:00,3.6357e-06,58,3.675e-06,3.675e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 15:36:00,3.3418e-06,59,3.0585e-06,3.0585e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 15:48:00,6.5435e-06,58,2.8303e-06,2.8303e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.8625e-06,8.7051e-06,8.1122e-06,8.107e-06,9.66989e-05
2014-01-01 16:00:00,6.15e-06,59,2.1378e-06,2.4106e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.1122e-06,7.7765e-06,7.2256e-06,6.916e-06,9.66989e-05
2014-01-01 16:12:00,4.7689e-06,58,2.1168e-06,2.4106e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.1122e-06,7.7765e-06,7.2256e-06,6.916e-06,9.66989e-05
2014-01-01 16:24:00,3.5491e-06,59,2.1247e-06,2.4106e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.6127e-06,9.4606e-06,9.1668e-06,8.1122e-06,7.7765e-06,7.2256e-06,6.916e-06,9.66989e-05
2014-01-01 16:36:00,3.0192e-06,59,2.1247e-06,2.4106e-06,1.2309e-05,1.2299e-05,1.0064e-05,9.1668e-06,8.1122e-06,7.7765e-06,7.2256e-06,6.916e-06,6.8583e-06,6.6852e-06,9.66989e-05
2014-01-01 16:48:00,2.8303e-06,58,2.4106e-06,2.5365e-05,1.2309e-05,1.2299e-05,1.0064e-05,6.916e-06,6.8583e-06,6.0346e-06,5.9926e-06,5.8038e-06,5.7198e-06,5.6621e-06,9.66989e-05
2014-01-01 17:00:00,2.1037e-06,59,2.2034e-06,0.00010024,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,7.8394e-06,6.916e-06,6.8583e-06,5.9926e-06,5.7198e-06,9.29424e-05
2014-01-01 17:12:00,2.1168e-06,58,1.9122e-06,0.00010024,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.29424e-05
2014-01-01 17:24:00,2.0014e-06,59,2.046e-06,0.00010024,1.2309e-05,1.2299e-05,1.0468e-05,1.0321e-05,1.0064e-05,9.8908e-06,7.8394e-06,6.916e-06,6.8583e-06,6.7849e-06,9.29424e-05
