Year,Month,Day,Hour Start,Minute Start,Hour End,Minute End,Hour Peak,Minute Peak,Hour Peak,Minute Peak,Peak Flux
2011,3,7,19,43,20,58,20,12,20,12,3.72E-05
2015,11,4,13,31,14,13,13,52,13,52,3.72E-05
2014,2,12,3,52,4,38,4,25,4,24,3.69E-05
2011,12,25,18,11,18,20,18,16,18,16,3.68E-05
2015,8,22,21,19,21,28,21,24,21,24,3.68E-05
2015,4,21,15,24,15,51,15,45,15,44,3.68E-05
2015,9,28,3,45,3,59,3,55,3,56,3.63E-05
2014,6,11,20,53,21,10,21,3,21,2,3.59E-05
2014,10,30,1,19,1,56,1,35,1,36,3.57E-05
2015,3,9,14,22,14,37,14,33,14,32,3.56E-05
2011,2,24,7,23,7,42,7,35,7,36,3.55E-05
2012,7,2,19,59,20,13,20,7,20,6,3.53E-05
2013,10,27,12,36,12,52,12,48,12,48,3.51E-05
2011,8,8,18,0,18,18,18,10,18,10,3.50E-05
2012,11,21,15,10,15,38,15,30,15,30,3.50E-05
2014,10,28,2,15,3,8,2,42,2,42,3.50E-05
2013,8,17,18,16,18,35,18,24,18,24,3.47E-05
2013,4,12,19,52,20,46,20,38,20,38,3.39E-05
2012,3,2,17,29,18,7,17,46,17,46,3.38E-05
2014,3,11,3,44,3,56,3,50,3,50,3.35E-05
2015,3,12,4,41,4,50,4,46,4,46,3.30E-05
2011,9,4,11,21,11,50,11,45,11,46,3.28E-05
2013,12,22,15,6,15,19,15,12,15,12,3.28E-05
2012,1,19,13,44,17,50,16,5,16,4,3.22E-05
2013,12,29,7,49,8,0,7,56,7,56,3.20E-05
2011,9,24,17,19,17,31,17,25,17,26,3.19E-05
2014,11,15,11,40,12,10,12,3,12,2,3.17E-05
2014,6,12,21,34,22,52,22,16,22,16,3.16E-05
2013,12,19,23,6,23,26,23,19,23,18,3.11E-05
2015,3,6,4,14,5,27,4,57,4,58,3.10E-05
2011,9,24,19,9,19,41,19,21,19,22,3.10E-05
2014,2,20,7,26,8,25,7,56,7,56,3.09E-05
2014,2,1,7,14,7,36,7,23,7,24,3.08E-05
2014,8,21,13,19,13,42,13,31,13,30,3.08E-05
2014,11,6,1,29,1,54,1,39,1,38,3.06E-05
2011,9,25,2,27,2,37,2,33,2,32,3.05E-05
2013,5,17,8,43,9,19,8,57,8,56,3.02E-05
2013,6,23,20,48,20,59,20,56,20,56,3.01E-05
2015,9,29,5,5,5,23,5,16,5,16,3.00E-05
2014,6,11,8,0,8,15,8,9,8,8,3.00E-05
2014,11,5,18,50,20,15,19,44,19,44,2.99E-05
2012,7,6,1,37,1,42,1,40,1,40,2.98E-05
2013,10,25,2,48,3,12,3,2,3,2,2.98E-05
2013,6,21,2,30,3,43,3,14,3,14,2.91E-05
2012,7,1,19,11,19,21,19,18,19,18,2.89E-05
2015,8,27,4,48,6,3,5,44,5,44,2.89E-05
2013,10,9,1,23,1,56,1,48,1,48,2.84E-05
2015,8,24,7,26,7,35,7,33,7,32,2.83E-05
2013,10,23,20,41,20,59,20,53,20,54,2.79E-05
2014,6,12,10,14,10,27,10,21,10,22,2.79E-05
2012,7,27,17,17,17,32,17,26,17,26,2.78E-05
2014,10,22,5,11,5,21,5,17,5,18,2.78E-05
2015,12,21,0,52,1,11,1,3,1,2,2.75E-05
2010,2,6,18,47,19,9,18,59,18,58,2.71E-05
2012,7,7,10,57,11,7,11,3,11,4,2.71E-05
2014,11,7,2,5,3,32,2,49,2,48,2.70E-05
2015,5,5,17,12,17,30,17,24,17,24,2.68E-05
2012,3,14,15,8,15,36,15,21,15,20,2.67E-05
2014,3,28,23,44,23,58,23,51,23,52,2.67E-05
2010,10,16,19,7,19,15,19,12,19,12,2.67E-05
2014,11,4,7,59,9,20,8,38,8,38,2.66E-05
2014,2,2,6,24,6,37,6,34,6,34,2.64E-05
2015,3,11,7,51,8,3,7,57,7,58,2.64E-05
2014,6,13,7,49,7,59,7,56,7,56,2.64E-05
2011,11,3,10,58,11,20,11,11,11,12,2.60E-05
2015,3,12,21,44,21,56,21,51,21,50,2.59E-05
2011,9,26,14,37,15,2,14,46,14,46,2.59E-05
2013,10,24,9,59,10,17,10,9,10,10,2.58E-05
2013,10,26,19,24,19,30,19,27,19,26,2.57E-05
2014,9,3,13,20,14,23,13,54,13,54,2.56E-05
2011,8,9,3,19,4,8,3,54,3,54,2.56E-05
2014,11,6,21,53,22,34,22,16,22,16,2.56E-05
2013,10,28,14,0,14,12,14,5,14,4,2.56E-05
2011,6,7,6,16,6,59,6,41,6,42,2.56E-05
2013,11,7,14,15,14,31,14,25,14,26,2.51E-05
2011,12,31,13,9,13,19,13,15,13,16,2.49E-05
2013,11,11,11,1,11,30,11,18,11,18,2.48E-05
2014,1,28,22,4,22,20,22,16,22,16,2.46E-05
2013,10,25,19,5,19,24,19,21,19,22,2.46E-05
2011,9,24,17,59,18,24,18,15,18,14,2.46E-05
2014,7,31,11,1,11,21,11,14,11,14,2.45E-05
2015,2,9,22,19,0,16,23,35,23,34,2.43E-05
2014,10,26,19,59,20,45,20,21,20,20,2.43E-05
2014,2,7,10,25,10,31,10,29,10,30,2.40E-05
2012,10,8,11,5,11,23,11,17,11,18,2.39E-05
2011,12,26,20,12,20,36,20,30,20,30,2.38E-05
2014,2,12,6,54,7,4,6,58,6,58,2.36E-05
2012,7,5,1,5,1,15,1,10,1,10,2.36E-05
2014,11,9,15,24,15,38,15,32,15,32,2.32E-05
2012,7,4,12,7,12,32,12,24,12,24,2.31E-05
2017,4,2,12,52,13,11,13,0,13,0,2.31E-05
2014,11,4,8,52,9,13,9,4,9,4,2.31E-05
2014,9,23,23,3,23,28,23,16,23,16,2.30E-05
2014,3,12,10,55,11,11,11,5,11,4,2.30E-05
2014,10,14,19,7,0,19,21,21,21,20,2.28E-05
2013,4,5,17,34,18,4,17,48,17,48,2.28E-05
2015,1,30,12,10,12,21,12,16,12,16,2.28E-05
2012,7,4,4,28,4,45,4,37,4,36,2.27E-05
2012,7,29,6,15,6,29,6,22,6,22,2.27E-05
2012,6,28,16,7,16,15,16,12,16,12,2.27E-05
2014,2,2,7,17,8,29,8,20,8,20,2.26E-05
2013,10,26,5,59,6,20,6,6,6,6,2.26E-05
2013,11,7,3,34,3,43,3,40,3,40,2.26E-05
2012,3,6,12,23,12,54,12,41,12,42,2.25E-05
2014,12,27,2,3,2,24,2,16,2,16,2.25E-05
2011,2,14,17,20,17,32,17,26,17,26,2.24E-05
2012,11,28,21,20,21,48,21,36,21,36,2.24E-05
2015,1,14,12,30,13,8,12,58,12,58,2.23E-05
2014,11,3,11,23,12,17,11,53,11,54,2.23E-05
2011,7,30,2,4,2,12,2,9,2,8,2.23E-05
2013,10,28,14,46,15,4,15,1,15,0,2.23E-05
2011,9,25,16,51,17,9,16,58,16,58,2.23E-05
2014,2,14,2,40,3,10,2,57,2,56,2.22E-05
2010,1,19,13,3,13,50,13,41,13,40,2.22E-05
2015,8,28,13,4,13,23,13,16,13,16,2.21E-05
2012,3,5,19,10,19,21,19,16,19,16,2.20E-05
2014,9,11,15,20,15,31,15,26,15,26,2.20E-05
2015,4,21,10,17,10,59,10,40,10,40,2.20E-05
2015,9,20,17,32,18,29,18,3,18,2,2.19E-05
2015,4,21,11,49,12,2,11,57,11,56,2.18E-05
2012,8,18,16,2,16,9,16,7,16,8,2.18E-05
2011,11,3,23,28,23,44,23,36,23,36,2.15E-05
2017,4,2,18,18,19,28,18,38,18,38,2.15E-05
2012,6,6,19,54,20,13,20,6,20,6,2.14E-05
2012,6,3,17,48,17,57,17,55,17,54,2.13E-05
2015,11,4,3,20,3,29,3,26,3,26,2.13E-05
2012,7,5,2,35,2,47,2,42,2,42,2.13E-05
2015,1,29,11,32,11,52,11,42,11,42,2.11E-05
2012,7,10,6,5,6,47,6,27,6,28,2.10E-05
2014,6,12,4,14,4,26,4,21,4,22,2.10E-05
2012,7,2,23,49,0,3,23,56,23,56,2.09E-05
2015,1,30,0,32,1,2,0,44,0,44,2.05E-05
2015,11,4,11,55,12,6,12,3,12,2,2.05E-05
2014,2,7,4,47,5,4,4,56,4,56,2.05E-05
2014,2,12,15,41,16,15,15,51,15,50,2.05E-05
2016,7,24,6,9,6,32,6,20,6,20,2.04E-05
2015,4,21,16,55,17,9,17,0,17,0,2.03E-05
2015,6,21,1,2,2,0,1,42,1,42,2.03E-05
2012,3,4,10,29,12,16,10,52,10,52,2.02E-05
2013,11,5,8,12,8,21,8,18,8,18,2.01E-05
2014,11,7,4,12,4,38,4,25,4,24,2.00E-05
2011,9,23,23,48,0,4,23,56,23,56,2.00E-05
2014,3,28,19,4,19,27,19,18,19,18,1.99E-05
2014,8,25,14,46,15,31,15,11,15,10,1.98E-05
2015,5,5,9,42,9,51,9,47,9,48,1.98E-05
2011,3,7,13,45,14,56,14,30,14,30,1.98E-05
2013,12,22,8,5,8,18,8,11,8,12,1.98E-05
2011,12,29,13,40,14,1,13,50,13,50,1.97E-05
2013,10,25,20,54,21,13,20,58,20,58,1.96E-05
2010,2,8,13,32,13,50,13,47,13,46,1.96E-05
2014,1,4,22,12,23,22,22,52,22,52,1.96E-05
2014,10,16,12,58,13,5,13,3,13,2,1.95E-05
2012,7,6,10,24,10,32,10,29,10,30,1.95E-05
2013,10,31,13,36,14,2,13,51,13,50,1.94E-05
2012,5,7,14,3,14,52,14,31,14,32,1.94E-05
2016,7,24,17,30,18,12,17,43,17,42,1.94E-05
2015,9,27,10,20,10,46,10,40,10,40,1.94E-05
2013,5,12,20,17,21,3,20,32,20,32,1.93E-05
2012,6,14,12,52,15,56,14,35,14,34,1.92E-05
2011,11,15,12,30,12,50,12,43,12,42,1.91E-05
2012,6,29,9,13,9,22,9,20,9,20,1.90E-05
2015,6,14,0,52,1,9,0,59,0,58,1.90E-05
2012,6,9,11,20,11,35,11,32,11,32,1.90E-05
2011,12,29,21,43,21,59,21,51,21,50,1.88E-05
2013,11,8,9,22,9,31,9,28,9,28,1.87E-05
2011,9,21,12,4,12,45,12,23,12,22,1.86E-05
2015,12,28,11,20,14,9,12,45,12,44,1.85E-05
2011,3,7,9,14,9,28,9,20,9,20,1.85E-05
2014,2,13,1,32,1,50,1,40,1,40,1.85E-05
2011,4,22,4,35,5,14,4,57,4,58,1.85E-05
2016,2,13,15,16,15,26,15,24,15,24,1.84E-05
2012,3,15,7,23,8,8,7,52,7,52,1.84E-05
2014,12,1,6,26,6,59,6,41,6,42,1.84E-05
2014,5,6,8,41,9,21,9,3,9,2,1.83E-05
2014,2,11,16,34,17,10,16,51,16,50,1.83E-05
2015,3,11,7,10,7,43,7,18,7,18,1.82E-05
2013,10,26,10,48,11,34,11,17,11,18,1.82E-05
2011,11,5,20,31,20,54,20,38,20,38,1.82E-05
2013,11,16,7,45,7,53,7,49,7,50,1.81E-05
2012,5,10,20,20,20,30,20,26,20,26,1.80E-05
2012,11,20,12,36,12,46,12,41,12,42,1.80E-05
2013,5,20,5,16,6,3,5,25,5,26,1.78E-05
2012,4,16,17,24,18,0,17,45,17,46,1.78E-05
2014,10,20,19,53,20,13,20,4,20,4,1.77E-05
2012,7,17,12,3,19,4,17,15,17,14,1.77E-05
2013,1,13,8,35,8,40,8,38,8,38,1.77E-05
2014,3,10,15,21,15,32,15,28,15,28,1.77E-05
2014,8,1,14,43,14,57,14,48,14,48,1.77E-05
2012,5,9,14,2,14,14,14,8,14,8,1.76E-05
2012,1,18,19,4,19,27,19,12,19,12,1.76E-05
2011,3,9,10,35,11,21,11,7,11,6,1.75E-05
2015,7,6,20,32,20,50,20,40,20,40,1.75E-05
2012,10,9,23,22,23,35,23,31,23,32,1.75E-05
2014,3,20,3,42,4,8,3,56,3,56,1.74E-05
2012,7,10,4,58,5,31,5,14,5,14,1.74E-05
2012,6,9,16,45,16,56,16,53,16,52,1.74E-05
2010,1,20,7,42,7,53,7,49,7,50,1.73E-05
2011,9,24,16,36,17,15,16,59,16,58,1.73E-05
2014,2,11,3,22,3,39,3,31,3,30,1.72E-05
2012,7,5,20,9,20,28,20,14,20,14,1.72E-05
2011,8,3,4,29,4,35,4,32,4,32,1.72E-05
2011,3,9,13,17,14,13,14,2,14,2,1.71E-05
2014,10,26,18,43,18,56,18,49,18,48,1.71E-05
2011,2,16,14,19,14,29,14,25,14,26,1.70E-05
2015,12,22,3,15,3,48,3,34,3,34,1.70E-05
2014,2,2,18,5,18,18,18,11,18,10,1.70E-05
2014,1,2,2,24,2,56,2,33,2,32,1.69E-05
2013,10,13,0,12,1,5,0,43,0,42,1.68E-05
2015,3,16,10,39,11,17,10,58,10,58,1.68E-05
2012,7,4,16,33,16,48,16,39,16,38,1.67E-05
2013,11,2,22,13,22,25,22,21,22,22,1.67E-05
2015,3,13,5,49,6,12,6,7,6,6,1.67E-05
2015,3,12,11,38,12,2,11,50,11,50,1.66E-05
2011,9,23,21,54,22,34,22,15,22,16,1.65E-05
2014,1,30,6,33,6,44,6,39,6,38,1.65E-05
2014,10,18,7,2,8,49,7,58,7,58,1.64E-05
2014,3,11,11,58,12,14,12,7,12,6,1.64E-05
2015,1,30,5,29,6,35,5,36,5,36,1.64E-05
2011,9,5,4,8,4,32,4,28,4,28,1.63E-05
2011,3,7,7,49,7,56,7,54,7,54,1.63E-05
2014,12,13,5,13,5,25,5,20,5,20,1.62E-05
2011,12,31,16,16,16,34,16,26,16,26,1.62E-05
2015,4,21,21,39,21,55,21,45,21,44,1.62E-05
2013,3,21,21,42,22,36,22,4,22,4,1.62E-05
2013,12,22,21,23,22,13,22,8,22,8,1.62E-05
2011,2,9,1,23,1,35,1,31,1,30,1.62E-05
2012,7,5,10,44,10,50,10,48,10,48,1.61E-05
2011,10,20,3,10,3,44,3,25,3,24,1.61E-05
2010,1,19,20,23,20,46,20,35,20,34,1.61E-05
2012,7,6,8,17,8,27,8,23,8,24,1.61E-05
2013,12,22,14,24,14,48,14,38,14,38,1.60E-05
2010,11,4,23,30,0,12,23,58,23,58,1.60E-05
2014,10,28,13,54,14,23,14,6,14,6,1.60E-05
2012,8,6,4,33,4,41,4,38,4,38,1.60E-05
2014,10,29,21,18,21,25,21,22,21,22,1.59E-05
2014,2,14,12,29,12,45,12,40,12,40,1.58E-05
2014,10,2,17,10,18,15,17,44,17,44,1.58E-05
2013,12,20,11,35,12,7,11,57,11,56,1.58E-05
2014,9,14,2,3,2,36,2,16,2,16,1.58E-05
2014,2,4,15,25,16,49,16,2,16,2,1.58E-05
2014,6,11,5,30,5,36,5,34,5,34,1.57E-05
2014,7,10,22,29,22,37,22,34,22,34,1.57E-05
2011,3,7,21,45,21,55,21,50,21,50,1.56E-05
2013,10,11,7,1,7,45,7,25,7,24,1.55E-05
2012,1,14,13,14,13,20,13,18,13,18,1.55E-05
2014,10,21,13,35,13,40,13,38,13,38,1.55E-05
2015,9,20,4,55,5,17,5,3,5,4,1.54E-05
2014,1,28,4,2,4,13,4,9,4,10,1.54E-05
2014,8,1,17,55,18,48,18,13,18,14,1.54E-05
2012,3,5,19,27,19,32,19,30,19,30,1.54E-05
2012,7,5,21,37,21,51,21,45,21,44,1.54E-05
2011,9,25,9,25,9,53,9,35,9,34,1.53E-05
2011,9,23,1,47,2,10,1,59,1,58,1.53E-05
2010,1,20,10,46,11,10,10,59,10,58,1.53E-05
2012,11,20,19,21,19,32,19,28,19,28,1.53E-05
2014,12,5,11,33,12,47,12,25,12,24,1.52E-05
2015,10,17,20,35,20,46,20,42,20,42,1.52E-05
2014,12,17,0,57,1,20,1,10,1,10,1.51E-05
2015,3,6,6,55,8,28,8,15,8,14,1.51E-05
2014,10,20,18,55,19,4,19,2,19,2,1.50E-05
2011,3,8,3,37,4,20,3,58,3,58,1.50E-05
2012,6,30,18,26,18,34,18,32,18,32,1.50E-05
2011,8,2,5,19,6,48,6,19,6,20,1.49E-05
2014,12,17,18,54,19,20,19,1,19,2,1.49E-05
2013,7,3,7,0,7,18,7,8,7,8,1.48E-05
2012,9,8,17,35,18,20,17,59,18,0,1.48E-05
2014,2,6,22,56,23,10,23,5,23,4,1.48E-05
2012,5,8,13,2,13,12,13,8,13,8,1.47E-05
2011,12,26,2,13,2,36,2,27,2,26,1.47E-05
2014,12,14,19,25,19,39,19,33,19,32,1.47E-05
2011,3,23,2,3,2,24,2,17,2,18,1.46E-05
2014,6,14,19,23,19,34,19,29,19,30,1.46E-05
2012,11,21,6,45,7,8,6,56,6,56,1.46E-05
2011,3,8,19,46,21,19,20,16,20,16,1.46E-05
2013,12,23,8,59,9,9,9,6,9,6,1.46E-05
2013,8,17,18,49,19,54,19,33,19,32,1.46E-05
2012,5,5,13,19,13,29,13,23,13,24,1.45E-05
2015,9,29,11,9,11,20,11,15,11,14,1.45E-05
2015,1,28,4,21,4,55,4,41,4,40,1.44E-05
2014,9,11,21,1,21,30,21,26,21,26,1.44E-05
2014,10,29,14,24,14,51,14,33,14,32,1.44E-05
2015,3,12,12,9,12,18,12,14,12,14,1.43E-05
2014,3,10,22,45,23,12,23,0,23,0,1.43E-05
2013,11,13,14,57,15,41,15,20,15,20,1.43E-05
2014,1,28,11,34,11,41,11,38,11,38,1.43E-05
2015,8,30,2,1,4,23,3,30,3,30,1.43E-05
2014,10,27,17,33,17,47,17,40,17,40,1.43E-05
2011,10,2,17,19,17,26,17,23,17,24,1.43E-05
2014,2,4,9,38,9,58,9,49,9,48,1.43E-05
2015,1,22,4,43,5,2,4,52,4,52,1.42E-05
2012,3,5,22,26,22,42,22,34,22,34,1.42E-05
2013,10,24,10,30,10,37,10,33,10,32,1.42E-05
2011,10,31,17,21,18,50,18,8,18,8,1.42E-05
2012,3,17,20,32,20,42,20,39,20,40,1.42E-05
2015,8,21,9,34,10,7,9,48,9,48,1.42E-05
2013,10,28,11,32,12,39,11,53,11,54,1.42E-05
2014,3,31,7,20,8,18,8,7,8,6,1.41E-05
2016,8,7,14,37,14,48,14,44,14,44,1.41E-05
2014,6,3,3,58,4,17,4,9,4,10,1.40E-05
2011,5,29,10,8,11,8,10,33,10,32,1.40E-05
